Continent,Region,Country,Criminality Score 2021,Criminality 2023
Asia,Southern Asia,Afghanistan,7.08,7.10
Europe,Central & Eastern Europe,Albania,5.63,5.17
Africa,North Africa,Algeria,4.51,4.88
Europe,Western Europe,Andorra,2.96,3.22
Africa,Central Africa,Angola,5.29,5.58
Americas,Caribbean ,Antigua and Barbuda,3.34,2.98
Americas,South America,Argentina,4.38,5.00
Asia,Central Asia and the Caucasus,Armenia,3.26,2.82
Oceania,Australia and New Zealand,Australia,4.00,4.00
Europe,Western Europe,Austria,4.04,4.13
Asia,Central Asia and the Caucasus,Azerbaijan,5.08,4.80
Americas,Caribbean ,Bahamas,3.79,3.75
Asia,Western Asia,Bahrain,4.83,4.95
Asia,Southern Asia,Bangladesh,4.98,5.12
Americas,Caribbean ,Barbados,3.21,3.07
Europe,Central & Eastern Europe,Belarus,5.08,5.87
Europe,Western Europe,Belgium,4.34,4.43
Americas,Central America,Belize,4.64,4.87
Africa,West Africa,Benin,5.25,5.32
Asia,Southern Asia,Bhutan,3.69,3.90
Americas,South America,Bolivia,4.30,4.95
Europe,Central & Eastern Europe,Bosnia and Herzegovina,5.89,5.85
Africa,Southern Africa,Botswana,3.71,4.35
Americas,South America,Brazil,6.50,6.77
Asia,South-Eastern Asia,Brunei,2.76,2.85
Europe,Central & Eastern Europe,Bulgaria,5.43,5.65
Africa,West Africa,Burkina Faso,5.49,5.92
Africa,Central Africa,Burundi,4.51,4.87
Africa,West Africa,Cabo Verde,4.04,4.28
Asia,South-Eastern Asia,Cambodia,5.83,6.85
Africa,Central Africa,Cameroon,6.31,6.27
Americas,North America,Canada,3.66,3.88
Africa,Central Africa,Central African Republic,7.04,6.75
Africa,Central Africa,Chad,5.86,5.50
Americas,South America,Chile,4.60,5.18
Asia,Eastern Asia,China,6.01,6.37
Americas,South America,Colombia,7.66,7.75
Africa,Southern Africa,Comoros,3.86,3.92
Africa,Central Africa,"Congo, Dem. Rep.",7.75,7.35
Africa,Central Africa,"Congo, Rep.",5.03,4.78
Americas,Central America,Costa Rica,4.99,5.53
Africa,West Africa,Côte d'Ivoire,6.15,6.02
Europe,Central & Eastern Europe,Croatia,5.06,5.15
Americas,Caribbean ,Cuba,3.44,3.37
Europe,Southern Europe,Cyprus,4.19,4.43
Europe,Central & Eastern Europe,Czech Republic,4.63,4.68
Europe,Northern Europe,Denmark,3.86,4.02
Africa,East Africa,Djibouti,3.99,4.65
Americas,Caribbean ,Dominica,2.63,2.63
Americas,Caribbean ,Dominican Republic,5.15,5.02
Americas,South America,Ecuador,6.25,7.07
Africa,North Africa,Egypt,5.16,5.05
Americas,Central America,El Salvador,5.94,5.92
Africa,Central Africa,Equatorial Guinea,4.11,4.38
Africa,East Africa,Eritrea,4.34,3.97
Europe,Northern Europe,Estonia,3.60,4.25
Africa,Southern Africa,Eswatini,3.63,4.38
Africa,East Africa,Ethiopia,4.79,5.68
Oceania,Melanesia,Fiji,3.90,4.15
Europe,Northern Europe,Finland,2.71,2.98
Europe,Western Europe,France,5.66,5.82
Africa,Central Africa,Gabon,4.90,4.85
Africa,West Africa,Gambia,4.83,4.53
Asia,Central Asia and the Caucasus,Georgia,2.96,3.60
Europe,Western Europe,Germany,4.90,5.33
Africa,West Africa,Ghana,6.01,5.80
Europe,Southern Europe,Greece,4.93,5.35
Americas,Caribbean ,Grenada,3.05,2.93
Americas,Central America,Guatemala,6.48,6.60
Africa,West Africa,Guinea,5.20,4.58
