Continent,Region,Country,Criminality Score 2023,Resilience Score 2023
Asia,Southern Asia,Afghanistan,7.1,1.5
Europe,Central & Eastern Europe,Albania,5.17,5.13
Africa,North Africa,Algeria,4.88,4.38
Europe,Western Europe,Andorra,3.22,7.96
Africa,Central Africa,Angola,5.58,4.5
North America,Caribbean ,Antigua and Barbuda,2.98,4.58
South America,South America,Argentina,5,5.96
Asia,Central Asia and the Caucasus,Armenia,2.82,5.71
Oceania,Australia and New Zealand,Australia,4,7.38
Europe,Western Europe,Austria,4.13,7.5
Asia,Central Asia and the Caucasus,Azerbaijan,4.8,3.96
North America,Caribbean ,Bahamas,3.75,5.5
Asia,Western Asia,Bahrain,4.95,5.42
Asia,Southern Asia,Bangladesh,5.12,4.42
North America,Caribbean ,Barbados,3.07,6.13
Europe,Central & Eastern Europe,Belarus,5.87,3.25
Europe,Western Europe,Belgium,4.43,7.04
North America,Central America,Belize,4.87,3.29
Africa,West Africa,Benin,5.32,3.5
Asia,Southern Asia,Bhutan,3.9,4.71
South America,South America,Bolivia,4.95,4.83
Europe,Central & Eastern Europe,Bosnia and Herzegovina,5.85,3.88
Africa,Southern Africa,Botswana,4.35,5.46
South America,South America,Brazil,6.77,4.92
Asia,South-Eastern Asia,Brunei,2.85,4.58
Europe,Central & Eastern Europe,Bulgaria,5.65,5.33
Africa,West Africa,Burkina Faso,5.92,3.46
Africa,Central Africa,Burundi,4.87,2.17
Africa,West Africa,Cabo Verde,4.28,6.58
Asia,South-Eastern Asia,Cambodia,6.85,3.63
Africa,Central Africa,Cameroon,6.27,3.17
North America,North America,Canada,3.88,7.21
Africa,Central Africa,Central African Republic,6.75,1.79
Africa,Central Africa,Chad,5.5,2.42
South America,South America,Chile,5.18,6.17
Asia,Eastern Asia,China,6.37,5.67
South America,South America,Colombia,7.75,5.63
Africa,Southern Africa,Comoros,3.92,2.38
Africa,Central Africa,"Congo, Dem. Rep.",7.35,2.38
Africa,Central Africa,"Congo, Rep.",4.78,3.25
North America,Central America,Costa Rica,5.53,5.63
Africa,West Africa,Côte d'Ivoire,6.02,5.13
Europe,Central & Eastern Europe,Croatia,5.15,5.92
North America,Caribbean ,Cuba,3.37,5.38
Europe,Southern Europe,Cyprus,4.43,4.46
Europe,Central & Eastern Europe,Czech Republic,4.68,6.42
Europe,Northern Europe,Denmark,4.02,8.13
Africa,East Africa,Djibouti,4.65,4.38
North America,Caribbean ,Dominica,2.63,5.17
North America,Caribbean ,Dominican Republic,5.02,4.79
South America,South America,Ecuador,7.07,4.88
Africa,North Africa,Egypt,5.05,3.83
North America,Central America,El Salvador,5.92,3.21
Africa,Central Africa,Equatorial Guinea,4.38,2.21
Africa,East Africa,Eritrea,3.97,2.33
Europe,Northern Europe,Estonia,4.25,7.88
Africa,Southern Africa,Eswatini,4.38,3.29
Africa,East Africa,Ethiopia,5.68,4.75
Oceania,Melanesia,Fiji,4.15,5.42
