Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2024,March,A Crimes against the person,A10 Homicide and related offences,A11 Murder,53,0.8
2024,March,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder,33,0.5
2024,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,16,0.2
2024,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,119,1.7
2024,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"7,426",106.6
2024,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"7,845",112.6
2024,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,927",42.0
2024,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"15,763",226.2
2024,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"13,329",191.3
2024,March,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,929",70.7
2024,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"6,458",92.7
2024,March,A Crimes against the person,A30 Sexual offences,A33 Incest,494,7.1
2024,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,533",36.4
2024,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,"1,070",15.4
2024,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,200,2.9
2024,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,462,6.6
2024,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,5,0.1
2024,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,765",39.7
2024,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,415,6.0
2024,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,473,6.8
2024,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,101,1.4
2024,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,604",23.0
2024,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,"1,038",14.9
2024,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,"2,139",30.7
2024,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,"1,192",17.1
2024,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"3,870",55.5
2024,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"3,001",43.1
2024,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,"1,503",21.6
2024,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,28,0.4
2024,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,"1,445",20.7
2024,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,038",43.6
2024,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,165",31.1
2024,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,46,0.7
2024,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,453,6.5
2024,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"38,638",554.5
2024,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,829",55.0
2024,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,504,7.2
2024,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"6,031",86.6
2024,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,215,3.1
2024,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,13,0.2
2024,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"19,884",285.4
2024,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"13,650",195.9
2024,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,63,0.9
2024,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"21,463",308.0
2024,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"59,160",849.0
2024,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"29,747",426.9
2024,March,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"7,942",114.0
2024,March,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,"14,971",214.8
